Topic,Words,Frequency,Timestamp,Name
-1,"oak, wa, health, city, ha",437,2023-05-14 16:37:44.952999936+00:00,Political News
0,"griddle, chef, carrot, toast, sheet",16,2023-05-14 16:37:44.952999936+00:00,Recipe for Chicken Dish
1,"museum, artist, painting, art, gallery",21,2023-05-14 16:37:44.952999936+00:00,Art Exhibition in Brooklyn
2,"china, jinping, xi, hong, kong",13,2023-05-14 16:37:44.952999936+00:00,China-US Relations
3,"novel, book, novelist, brimstone, santi",14,2023-05-14 16:37:44.952999936+00:00,Novels by Irish Author
4,"wes, haynes, director, film, premiering",13,2023-05-14 16:37:44.952999936+00:00,Director Wes Ball Narrates Sequence Film
5,"garment, shoe, sari, shiv, cosplays",7,2023-05-14 16:37:44.952999936+00:00,Fashion Designer Dies
6,"stuck, feeling, today, puzzle, help",8,2023-05-14 16:37:44.952999936+00:00,Feeling Stuck Today Puzzle Help
8,"ukraine, ukrainian, russian, counteroffensive, kyiv",12,2023-05-14 16:37:44.952999936+00:00,Ukraine-Russia War
9,"farmington, scratching, beau, inflamed, hitler",3,2023-05-14 16:37:44.952999936+00:00,Shootings and Police Encounters
10,"romagna, emilia, swamping, region, downpour",3,2023-05-14 16:37:44.952999936+00:00,Heavy rain and flooding in southern California
11,"reader, suggestion, essay, helping, discus",6,2023-05-14 16:37:44.952999936+00:00,Marriage Perspectives
12,"rogen, byrne, sandoval, atypical, vanderpump",3,2023-05-14 16:37:44.952999936+00:00,TV Series
13,"shindell, kindled, webb, firestorm, bezos",3,2023-05-14 16:37:44.952999936+00:00,Moon Exploration
14,"tobago, trinidad, fossil, fuel, climate",5,2023-05-14 16:37:44.952999936+00:00,Fossil Fuels and Climate Change
16,"nytimes, com, sentence, article, word",5,2023-05-14 16:37:44.952999936+00:00,Nytimes articles from past year
17,"execution, transparency, iran, estimate, citing",1,2023-05-14 16:37:44.952999936+00:00,Iranian commander killed in Israeli strike
20,"cottage, quaint, jenga, waynesboro, monrovia",4,2023-05-14 16:37:44.952999936+00:00,Three-bedroom home in Los Angeles
21,"thang, quang, wojcik, pronounces, hsiung",3,2023-05-14 16:37:44.952999936+00:00,Solving Weekend Puzzles
22,"tregarthen, gibney, tiffany, enhance, repertoire",1,2023-05-14 16:37:44.952999936+00:00,Dance in New York
23,"fed, considers, chair, moderate, rate",1,2023-05-14 16:37:44.952999936+00:00,Federal Reserve Interest Rate
25,"artificial, intelligence, generative, misinformation, transform",3,2023-05-14 16:37:44.952999936+00:00,Artificial Intelligence
26,"spoiler, contains, review, warning, columnist",7,2023-05-14 16:37:44.952999936+00:00,Day Puzzle Warning Contains Spoiler
27,"sinewy, habitually, fended, sheeran, metallica",2,2023-05-14 16:37:44.952999936+00:00,Billboard Chart Toppers
28,"adam, mayor, eric, progressive, spontaneous",5,2023-05-14 16:37:44.952999936+00:00,Mayor Eric Adam
29,"popped, identifying, stuff, follower, text",2,2023-05-14 16:37:44.952999936+00:00,Social Media Platform
30,"newburgh, eviction, priced, median, instant",2,2023-05-14 16:37:44.952999936+00:00,Housing Rent Regulation
31,"emphasizing, require, degree, paid, class",1,2023-05-14 16:37:44.952999936+00:00,Biden Addresses American Public
32,"southern, border, stunningly, sprung, rational",3,2023-05-14 16:37:44.952999936+00:00,Asylum Seekers at Southern Border
33,"electric, brexit, dominate, battery, vehicle",2,2023-05-14 16:37:44.952999936+00:00,Electric Vehicles
34,"zeitz, conversion, realizing, christianity, 16th",2,2023-05-14 16:37:44.952999936+00:00,Pope Francis and Catholic Church
35,"gessen, masha, cancel, boycott, expression",1,2023-05-14 16:37:44.952999936+00:00,Palestinian protest on campus
36,"jacumba, diego, heat, desert, emerged",2,2023-05-14 16:37:44.952999936+00:00,Heat Wave Alert
37,"ethicist, magazine, rendition, fiddler, deserves",2,2023-05-14 16:37:44.952999936+00:00,Climate Change Ethics
38,"microsoft, satya, nadella, giant, antitrust",2,2023-05-14 16:37:44.952999936+00:00,Microsoft Google Face Antitrust Probe
39,"kizza, ejismekwu, constance, vie, uncommon",3,2023-05-14 16:37:44.952999936+00:00,Dating App Success Stories
41,"vladeck, jurisprudence, unsigned, docket, unexplained",3,2023-05-14 16:37:44.952999936+00:00,Supreme Court Cases
42,"griner, mets, fazed, basketball, wembanyama",8,2023-05-14 16:37:44.952999936+00:00,Yankees vs Mets Baseball Rivalry
43,"florida, governor, floridagovernor, officially, stung",8,2023-05-14 16:37:44.952999936+00:00,Florida Governor Presidential Campaign
44,"animal, dog, ferret, doggy, pet",4,2023-05-14 16:37:44.952999936+00:00,Dog Care Industry
45,"desantis, ron, scuttled, gov, cookout",3,2023-05-14 16:37:44.952999936+00:00,Ron Desantis Presidential Run
46,"maestro, symphony, orchestra, mahler, dudamel",3,2023-05-14 16:37:44.952999936+00:00,Orchestra Conductor Life
47,"anohni, gimme, track, bunny, spark",2,2023-05-14 16:37:44.952999936+00:00,Heartrack
48,"exclusively, audio, app, exclusivelyfrom, timeaudio",3,2023-05-14 16:37:44.952999936+00:00,Exclusive NY Time Audio App
50,"abortion, overruling, supermajority, uphold, staging",2,2023-05-14 16:37:44.952999936+00:00,Abortion Rights in Ohio
51,"multiplayer, encountered, gaming, game, extremist",2,2023-05-14 16:37:44.952999936+00:00,Video Game
52,"tsai, nuremberg, versailles, clara, impounded",2,2023-05-14 16:37:44.952999936+00:00,Alaska Airline Flight Incident
54,"aided, bush, ronald, reagan, served",1,2023-05-14 16:37:44.952999936+00:00,White House Politics
56,"bankman, fried, lewis, ftx, theranos",2,2023-05-14 16:37:44.952999936+00:00,FTX Founder Arrested
57,"bumbling, introspective, gangster, pick, feature",1,2023-05-14 16:37:44.952999936+00:00,This Month's Pick Include
58,"heap, dilapidated, garbage, tap, sixth",1,2023-05-14 16:37:44.952999936+00:00,West African regional bloc presidency
59,"starcruiser, galactic, immersive, attraction, overall",1,2023-05-14 16:37:44.952999936+00:00,Streaming Service Revenue
62,"par, championship, oak, tennis, forehand",6,2023-05-14 16:37:44.952999936+00:00,Carlos Alcaraz vs Novak Djokovic at Wimbledon
63,"lautaro, istanbul, manchester, inter, madrid",1,2023-05-14 16:37:44.952999936+00:00,World Cup
66,"winemaker, commercially, nonalcoholic, brewing, consult",3,2023-05-14 16:37:44.952999936+00:00,Wine and Diversity
67,"abortion, pill, 1870s, sanitize, comstock",3,2023-05-14 16:37:44.952999936+00:00,Abortion Rights Topic
69,"elperiodico, foment, guerrilla, guatemala, bolivia",2,2023-05-14 16:37:44.952999936+00:00,Cartel Violence in Mexico and Colombia
70,"imperceptible, doorstep, alberta, distant, raging",2,2023-05-14 16:37:44.952999936+00:00,Wildfire smoke impacts air quality
71,"tolling, menendez, cory, 60th, booker",1,2023-05-14 16:37:44.952999936+00:00,Menendez Bribery Scandal
72,"keynes, maynard, remarkably, economy, steer",2,2023-05-14 16:37:44.952999936+00:00,Economic Resilience in Face of Recession
73,"lamp, loewe, finalist, recommendation, playful",1,2023-05-14 16:37:44.952999936+00:00,Recommendations from Magazine
74,"chatbots, chatbot, chatgpt, incorporate, responds",3,2023-05-14 16:37:44.952999936+00:00,Chatbots Race: Tech Giants' Own Dangerous Creations
77,"bagel, diary, metropolitan, busy, tale",1,2023-05-14 16:37:44.952999936+00:00,New York City Diary
78,"contrary, reconsider, willing, conviction, appear",1,2023-05-14 16:37:44.952999936+00:00,Preparing for Trial: Juror Selection and Evidence Preparation
80,"affiliating, unionization, eyeing, solidarity, equity",2,2023-05-14 16:37:44.952999936+00:00,Hollywood Actor Strike
82,"drivel, ahistoric, politicization, perverse, innovating",2,2023-05-14 16:37:44.952999936+00:00,Political Polarization in America
84,"antisemitism, lipstadt, combating, acknowledges, deborah",1,2023-05-14 16:37:44.952999936+00:00,Antisemitism at Columbia University
88,"stereotype, partisan, suggest, younger, le",1,2023-05-14 16:37:44.952999936+00:00,Republican Party Disarray
91,"mcburney, mozart, opera, theatrical, magical",1,2023-05-14 16:37:44.952999936+00:00,Opera Premiere at Metropolitan Opera
94,"compromised, spouse, debated, happiness, lonely",2,2023-05-14 16:37:44.952999936+00:00,Marriage Relationship Wonders
